id,name,category,price,duration_mins,hair,patch_test,kids,description,feats,image_url,sort_order,active
faux-locs,Faux Locs,Twists & Locs,120,360,client,FALSE,FALSE,"The full loc look without committing. Wrapped or crochet faux locs in soft, goddess or butterfly finishes, installed over your own hair.","Soft, goddess or butterfly
Wrapped or crochet method
Up to 4 weeks wear",,12,TRUE
sew-in-weave,Sew-in Weave,Weaves & Wigs,70,180,client,FALSE,FALSE,"A braided base with wefts sewn in, finished with a closure, a frontal or your own leave-out. Includes cutting and blending into your natural hair.","Closure, frontal or leave-out
Cut and blend included
Braided protective base",,13,TRUE
wig-install,Wig Install,Weaves & Wigs,55,120,client,FALSE,FALSE,"Glueless or bonded install with a plucked, bleached and tinted hairline, styled and laid to sit naturally against your skin tone.","Glueless or bonded
Hairline customised
Styled on the day",,14,TRUE
wig-revamp,Wig Revamp & Restyle,Weaves & Wigs,45,120,,FALSE,FALSE,"Bring an old wig back to life — deep wash, detangle, restore the curl pattern, refresh the parting and re-style. Colouring quoted separately.","Deep wash and detangle
Curl pattern restored
Parting refreshed",,15,TRUE
crochet-braids,Crochet Braids,Weaves & Wigs,60,150,client,FALSE,FALSE,Pre-looped hair crocheted into a cornrow base. The fastest protective style we offer and the easiest to change your mind about.,"Fast install
Curly, wavy or straight
Cornrow base included",,16,TRUE
silk-press,Silk Press & Blow-dry,Natural Hair,45,90,,FALSE,FALSE,"Wash, heat-protected blow-dry and a light flat-iron press for smooth, moving hair without chemicals. Includes a dusting of the ends.","Heat protection included
Ends dusted
Lasts 1–2 weeks",,17,TRUE
deep-conditioning,Deep Conditioning & Steam,Natural Hair,30,60,,FALSE,TRUE,"A clarifying wash followed by a protein or moisture mask under steam, chosen after we look at your hair. The quickest way to reset dry, brittle hair.","Steam treatment
Protein or moisture mask
Great before a protective style",,18,TRUE
wash-trim-style,"Wash, Trim & Style",Natural Hair,35,90,,FALSE,TRUE,"Shampoo, condition, a trim of the split ends and a style of your choice — twist-out, braid-out, wash-and-go or a simple blow-dry.","Trim included
Style of your choice
Suitable for children",,19,TRUE
scalp-treatment,Scalp Treatment & Consultation,Natural Hair,25,45,,FALSE,FALSE,"For flaking, itching, tenderness or thinning edges. We look at the scalp properly, treat what we find, and give you a written routine to follow at home.","Written home routine
Edge and density check
Books as a standalone visit",,20,TRUE
relaxer,Relaxer & Texturiser,Natural Hair,50,90,,TRUE,FALSE,"A root-only relaxer or a light texturiser, applied with a protective base and neutralised properly. Strand test first, every time.","Root application
Strand test included
Neutralising treatment",,21,TRUE
lash-extensions,Lash Extensions,Beauty,45,90,,TRUE,FALSE,"Classic, hybrid or volume lashes mapped to your eye shape. Infills at a reduced rate every 2–3 weeks.","Classic, hybrid or volume
Infills from £25
Mapped to your eye shape",,22,TRUE
brow-shaping,"Brow Shape, Tint & Lamination",Beauty,25,45,,TRUE,FALSE,"Threaded or waxed shaping, a tint matched to your hair, and optional lamination to set the shape for six weeks.","Threading or waxing
Tint matched to your hair
Lamination optional",,23,TRUE
threading-waxing,Threading & Waxing,Beauty,15,30,,FALSE,FALSE,"Precise facial threading and waxing — brows, lip, chin or a full face. Quick, and easy to add on to any hair appointment.","Brows, lip, chin or full face
Add on to any appointment
From 15 minutes",,24,TRUE
occasion-makeup,Occasion & Bridal Makeup,Beauty,60,60,,FALSE,FALSE,"Full-face makeup matched to deeper skin tones properly, for weddings, birthdays and photography. Bridal bookings include a trial.","Deep-tone shade range
Bridal trial included
Lashes included",,25,TRUE
